sample,tissue,time,infection
SRR5364315,Cerebellum,Day 8,Influenza A
SRR5364316,Cerebellum,Day 0,Non-Infected
SRR5364317,Cerebellum,Day 0,Non-Infected
SRR5364318,Cerebellum,Day 4,Influenza A
SRR5364319,Cerebellum,Day 4,Influenza A
SRR5364320,Cerebellum,Day 8,Influenza A
SRR5364321,Cerebellum,Day 8,Influenza A
SRR5364322,Cerebellum,Day 0,Non-Infected
SRR5364323,Cerebellum,Day 4,Influenza A
SRR5364324,Cerebellum,Day 4,Influenza A
SRR5364325,Cerebellum,Day 8,Influenza A
SRR5364326,Cerebellum,Day 8,Influenza A
SRR5364327,Cerebellum,Day 0,Non-Infected
SRR5364328,Cerebellum,Day 0,Non-Infected
SRR5364329,Cerebellum,Day 4,Influenza A
SRR5364330,Cerebellum,Day 8,Influenza A
SRR5364331,Cerebellum,Day 4,Influenza A
SRR5364332,Cerebellum,Day 0,Non-Infected
SRR5364333,Cerebellum,Day 0,Non-Infected
SRR5364334,Spinal cord,Day 4,Influenza A
SRR5364335,Spinal cord,Day 0,Non-Infected
SRR5364336,Spinal cord,Day 0,Non-Infected
SRR5364337,Spinal cord,Day 0,Non-Infected
SRR5364338,Spinal cord,Day 8,Influenza A
SRR5364339,Spinal cord,Day 8,Influenza A
SRR5364340,Spinal cord,Day 0,Non-Infected
SRR5364341,Cerebellum,Day 4,Influenza A
SRR5364342,Cerebellum,Day 4,Influenza A
SRR5364343,Spinal cord,Day 0,Non-Infected
SRR5364344,Spinal cord,Day 0,Non-Infected
SRR5364345,Spinal cord,Day 0,Non-Infected
SRR5364346,Spinal cord,Day 4,Non-Infected
SRR5364347,Spinal cord,Day 4,Influenza A
SRR5364348,Spinal cord,Day 4,Influenza A
SRR5364349,Spinal cord,Day 8,Influenza A
SRR5364350,Spinal cord,Day 4,Influenza A
SRR5364351,Spinal cord,Day 8,Influenza A
SRR5364352,Spinal cord,Day 4,Influenza A
SRR5364353,Spinal cord,Day 8,Influenza A
SRR5364354,Spinal cord,Day 4,Influenza A
SRR5364355,Spinal cord,Day 4,Influenza A
SRR5364356,Spinal cord,Day 4,Influenza A
SRR5364357,Spinal cord,Day 8,Influenza A
SRR5364358,Spinal cord,Day 8,Influenza A
SRR5364359,Cerebellum,Day 8,Influenza A
